Ftests;d1Ftests;d2Ftests;FFtests;pvaluesFtests;ttests;dfttest;Tttest;pvaluesttests;pvalueSymbol;pvalueplain;effectsize;Mturk;LabStudy;FieldStudy;NoStudy;NoExperiment;Journal;Year;Issue;Article
['f(1,40)= 10.29, p<.05', 'f(1,40)= 10.18,p<.05', 'f(1,40)= 19.60, p<.05', 'f(1,40)=25.06,p<.05', 'f(1,40)=4.10,p<.05', 'f(1,40)=3.65, p<.05', 'f(1,40)= .64, p >.1', 'f(1,40) = 3.45, p<.05', 'f(1,40)=3.00, p<.05', 'f(1,40) = 14.33,p<.05', 'f(1,54)=6.96, p<.05', 'f(1,54)= 10.71,p< .05', 'f(1,57)=3.25, p<.07', 'f(1,57)=4.69, p<.05', 'f(1,167)=11.99, p <.05', 'f(1,167)= 7.84, p<.05', 'f(1,165)=16.25,p<.05', 'f(1,165)=4.83, p<.05', 'f(1,67)=4.40, p<.05', 'f(1,67)=3.73,p = .07', 'f(1,67)=3.74,p<.05', 'f(1,67)=5.18,p<.05', 'f(1,67)=4.45,p<.05', 'f(1,40)= 14.33,p< .05', 'f(1,54)= 10.71, p<.05', 'f(1,57) = 3.25,p<.07', 'f(1,57)=4.69, p<.05'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '54', '54', '57', '57', '167', '167', '165', '165', '67', '67', '67', '67', '67', '40', '54', '57', '57'];['10.29', '10.18', '19.60', '25.06', '4.10', '3.65', '.64', '3.45', '3.00', '14.33', '6.96', '10.71', '3.25', '4.69', '11.99', '7.84', '16.25', '4.83', '4.40', '3.73', '3.74', '5.18', '4.45', '14.33', '10.71', '3.25', '4.69'];['.05', '.05', '.05', '.05', '.05', '.05', '.1', '.05', '.05', '.05', '.05', '.05', '.07', '.05', '.05', '.05', '.05', '.05', '.05', '.07', '.05', '.05', '.05', '.05', '.05', '.07', '.05'];['t(90)=5.37, p<.01', 't(90)=6.05, p<.01', 't(90)=2.6, p<.01', 't(90)=6.39, p<.01', 't (17)= 11.81, p<.05', 't(19)=-2.66,p<.05', 't(45)=-3.04, p<.05', 't(45)=2.09,p<.05', 't(83)= -4.95, p<.05', 't(48) = 2.05, p<.05', 't(49)=2.03, p<.05', 't(70)=6.35,p<.05', 't(69) = 3.00, p<.05', 't(90) = -9.5, p <.01', 't(90)=11.09, p<.01', 't(90)=6.39, p< .01', 't(19) = -2.66, p<.05'];['90', '90', '90', '90', '17', '19', '45', '45', '83', '48', '49', '70', '69', '90', '90', '90', '19'];['5.37', '6.05', '2.6', '6.39', '11.81', '2.66', '3.04', '2.09', '4.95', '2.05', '2.03', '6.35', '3.00', '9.5', '11.09', '6.39', '2.66'];['.01', '.01', '.01', '.01', '.05', '.05', '.05', '.05', '.05', '.05', '.05', '.05', '.05', '.01', '.01', '.01', '.05'];[' p =.240', ' p <.05', ' p < .01', ' p >.1', ' p <.05', ' p <.01', ' p < .05', '(p =.125'];['.240', '.05', '.01', '.1', '.05', '.01', '.05', '.125'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];[];['lab study'];['field study', 'field study'];['study 1', 'study 2', 'study 3', 'study 4', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 2', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 3', 'study 3', 'study 2', 'study 2', 'study 2', 'study 2', 'study 3', 'study 1', 'study 2', 'study 2', 'study 2', 'study 2', 'study 2', 'study 2', 'study 3', 'study 3', 'study 3', 'study 3', 'study 3', 'study 4', 'study 4', 'study 4', 'study 3', 'study 3', 'study 1', 'study 2', 'study 3', 'study 4', 'study 4', 'study 4', 'study 1', 'study 2', 'study 4', 'study 1'];['experiment 3', 'experiment 3', 'experiment 4'];JCP;11;3;JCP1103\23049323.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.256', ' p =.341', '(p =.213', '(p =.267', '(p =.787', '(p =.69', '(p =.37', '(p =.659', '(p =.138', '(p =.301'];['.256', '.341', '.213', '.267', '.787', '.69', '.37', '.659', '.138', '.301'];[];[];[];[];[];[];JCP;11;3;JCP1103\23049324.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.277', ' p = .001', ' p = .45', ' p =.01', ' p = .78', ' p = .023', ' p = .48', '(p =.176', '(p =.150', '(p =.889'];['.277', '.001', '.45', '.01', '.78', '.023', '.48', '.176', '.150', '.889'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd =', 'd=', 'd='];[];[];[];['study 1', 'study 2', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 2', 'study 1', 'study 1', 'study 1', 'study 2', 'study 1', 'study 1', 'study 2', 'study 1', 'study 1', 'study 3', 'study 2', 'study 1', 'study 3', 'study 3', 'study 3', 'study 3', 'study 2', 'study 1', 'study 3', 'study 3', 'study 2', 'study 3'];[];JCP;11;3;JCP1103\23049325.pdf.txt
['f(1, 103)=5.27,p < .05', 'f(1, 102)= 12.81,p < .01', 'f(3,98)=2.91, p< .05', 'f(3,101)=2.81, p < .05', 'f(1,101) = 1.77, ns.', 'f(6,105)=2.98,p=.01', 'f(13,52)=4.95, p<.005', 'f(3,53) = 6.92, p<.001', 'f(3,50)=4.46,p<.01'];['1', '1', '3', '3', '1', '6', '13', '3', '3'];['103', '102', '98', '101', '101', '105', '52', '53', '50'];['5.27', '12.81', '2.91', '2.81', '1.77', '2.98', '4.95', '6.92', '4.46'];['.05', '.01', '.05', '.05', 'ns.', '.01', '.005', '.001', '.01'];['t(101) = .02, ns', 't(112)=4.06,p<.001'];['101', '112'];['.02', '4.06'];['ns', '.001'];[' p =.290', ' p < .03', ' p < .02', ' p < .05', ' p < .05', ' p < .005', ' p = .001', ' p < .02', ' p < .001', ' p = .003', '(p =.1', '(p =.462', '(p =.123'];['.290', '.03', '.02', '.05', '.05', '.005', '.001', '.02', '.001', '.003', '.1', '.462', '.123'];['d=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd =', 'd ='];[];[];[];[];['experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 2'];JCP;11;3;JCP1103\23049326.pdf.txt
['f (1, 30)=6.79, p=.01', 'f(1, 30)= 5.15,p=.04', 'f(1, 30)= 10.62, p=.003', 'f(1, 30)=2.41, n.s.', 'f(1,84) = 8.17,p=.005', 'f(1, 84) = 5.63, p=.02', 'f(1, 84)=3.96,p=.05', 'f(1, 84)= 11.54,p = .001', 'f (1, 84)=4.02, p=.05', 'f(1, 84) = 4.63, p=.03', 'f(1, 84)= 10.48,p = .002', 'f(1, 84) = 3.75, p=.06', 'f(1, 84)= 1.15, n.s.', 'f(1, 84)= 1.61, n.s.'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['30', '30', '30', '30', '84', '84', '84', '84', '84', '84', '84', '84', '84', '84'];['6.79', '5.15', '10.62', '2.41', '8.17', '5.63', '3.96', '11.54', '4.02', '4.63', '10.48', '3.75', '1.15', '1.61'];['.01', '.04', '.003', 'n.s.', '.005', '.02', '.05', '.001', '.05', '.03', '.002', '.06', 'n.s.', 'n.s.'];[];[];[];[];[' p =.302', '(p =.367', '(p =.141', '(p =.69', '(p =.219', '(p =.1', '(p =.276'];['.302', '.367', '.141', '.69', '.219', '.1', '.276'];['d =', 'd=', 'd =', 'd =', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd=', 'd='];[];[];['field experiment', 'field study', 'field experiment'];[];['experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2'];JCP;11;3;JCP1103\23049327.pdf.txt
['f(1,161)=47.67, p<0.001', 'f(1,161)= 1.02, p0.10', 'f(1,161)=0.03, p>0.80', 'f(1,161) = 2.14, p>0.10', 'f(1,161)=2.34,p0.10', 'f(1,161 )= 4.72, p<0.05', 'f(1,84)= 11.42,p<0.01', 'f(1,27)=3.02, p>0.09', 'f(1,157)= 122.66, p<0.001', 'f(1,157)=28.50, p<0.001', 'f(1,157) = 32.31, p<0.001', 'f(1,66) = 21.28, p< 0.001', 'f(1,66) =18.36, p<0.001', 'f(1,66)= 15.72, p<0.001', 'f(1,66)=0.15, p>0.10', 'f(1,66)=0.06, p>0.10', 'f(1,87)=22.38, p<0.001', 'f(1,87)=10.17, p< 0.001', 'f(1,87)= 15.50, p<0.001', 'f(1,87) = 0.68, p<0.50', 'f(1,153)= 135.47, p<0.001', 'f(1,153) = 75.31, p<0.001', 'f(1,153) = 79.31, p<0.001', 'f(1,153) = 22.06, p<0.001', 'f(1,153) = 34.46, p<0.001', 'f(1,153)= 16.76, p< 0.001', 'f(1,153)= 13.24, p <0.001', 'f(1,153)<0.97, p>0.30', 'f(1,66) = 8.24,p <0.05', 'f(1,34)=41.54, p<0.001', 'f(1,32)= 0.05, p>0.50', 'f(1, 43)= 31.60, p <0.001'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['161', '161', '161', '161', '161', '161', '84', '27', '157', '157', '157', '66', '66', '66', '66', '66', '87', '87', '87', '87', '153', '153', '153', '153', '153', '153', '153', '153', '66', '34', '32', '43'];['47.67', '1.02', '0.03', '2.14', '2.34', '4.72', '11.42', '3.02', '122.66', '28.50', '32.31', '21.28', '18.36', '15.72', '0.15', '0.06', '22.38', '10.17', '15.50', '0.68', '135.47', '75.31', '79.31', '22.06', '34.46', '16.76', '13.24', '0.97', '8.24', '41.54', '0.05', '31.60'];[ '.001', '.10',  '.80',  '.10', '.10',  '.05',  '.01',  '.09',  '.001',  '.001',  '.001',  '.001',  '.001',  '.001',  '.10',  '.10',  '.001',  '.001',  '.001',  '.50',  '.001',  '.001',  '.001',  '.001',  '.001',  '.001',  '.001',  '.30',  '.05',  '.001',  '.50',  '.001'];[];[];[];[];[' p =.312', ' p < 0.01', ' p <0.001', ' p > 0.10', ' p <0.001', ' p <0.001', ' p <0.001', '(p =.1', '(p =.135', '(p =l59', '(p =.47', '(p =.793'];['.312', '.01', '.001', '.10', '.001', '.001', '.001', '.1', '.135', '.47', '.793'];['g=', 'g=', 'g=', 'g=', 'g=', 'g=', 'g =', 'g =', 'g=', 'g=', 'g =', 'g=', 'g=', 'd=', 'd='];[];[];[];[];['experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2'];JCP;11;3;JCP1103\23049328.pdf.txt
['f(1, 58) = 4.61, p<.05', 'f(1, 76) = 75.06, p < .001', 'f(1, 76) = 59.59, p < .001', 'f(1, 117)=8.67,p < .01', 'f(1, 117)= 16.62, p < .001', 'f(1, 59) = 7.57, p <.01', 'f(1, 59)= 13.45,p<.001', 'f(1, 67)= 15.48,p < .001', 'f(1, 67)= 16.57,p<.001', 'f(1, 67) = 7.35, p<.0', 'f(1, 67)= 10.38,p<.01', 'f(1, 55)= 245.57, p <.001', 'f(1, 52) = 8.53, p<.0', 'f(1, 52) = 5.91, p<.05', 'f(1, 52)=5.51, p<.05', 'f(1, 52) = 6.20, p<.05'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['58', '76', '76', '117', '117', '59', '59', '67', '67', '67', '67', '55', '52', '52', '52', '52'];['4.61', '75.06', '59.59', '8.67', '16.62', '7.57', '13.45', '15.48', '16.57', '7.35', '10.38', '245.57', '8.53', '5.91', '5.51', '6.20'];['.05', '.001', '.001', '.01', '.001', '.01', '.001', '.001', '.001', '.0', '.01', '.001', '.0', '.05', '.05', '.05'];[];[];[];[];[' p =.324', ' p < .001', ' p < .001', ' p < .001', ' p < .001', ' p <.01', ' p < .05', ' p < .05', ' p <.001', '(p =.25', '(p =.35', '(p =.289'];['.324', '.001', '.001', '.001', '.001', '.01', '.05', '.05', '.001', '.25', '.35', '.289'];['d=', 'd=', 'd =', 'd =', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd=', 'd =', 'd=', 'd=', 'd='];[];['lab experiment'];['field study'];[];['experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 3', 'experiment 2', 'experiment 1', 'experiment 3', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 1', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 1', 'experiment 3', 'experiment 2', 'experiment 2', 'experiment 3'];JCP;11;3;JCP1103\23049329.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.338', ' p <0.01', ' p <0.01'];['.338', '.01', '.01'];['d =', 'd='];[];[];['field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study'];['study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 2', 'study 2', 'study 1', 'study 2', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 1', 'study 2'];[];JCP;11;3;JCP1103\23049330.pdf.txt
['f(1, 100)= 171.85, p<.001', 'f(1, 99)=4.44, p<.05', 'f(2, 198)=5.00, p < .01', 'f(1, 99)=7.58, p< .01', 'f(2, 198) = 0.26,p>.10', 'f(1, 167)=40.50, p<.001', 'f(1, 167)=62.31, p<.001', 'f(1, 65)= 11.52,p<.001', 'f(1, 162)=7.09,p<.001'];['1', '1', '2', '1', '2', '1', '1', '1', '1'];['100', '99', '198', '99', '198', '167', '167', '65', '162'];['171.85', '4.44', '5.00', '7.58', '0.26', '40.50', '62.31', '11.52', '7.09'];['.001', '.05', '.01', '.01', '.10', '.001', '.001', '.001', '.001'];[];[];[];[];[' p =.346', ' p < .01', ' p <.001', ' p <.001', ' p < .001', ' p <.001', '(p =.265', '(p =.436'];['.346', '.01', '.001', '.001', '.001', '.001', '.265', '.436'];['d=', 'd=', 'd=', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];[];[];[];['study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 3', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 3', 'study 2', 'study 2', 'study 3', 'study 2', 'study 3', 'study 3'];[];JCP;11;3;JCP1103\23049331.pdf.txt
['f(3, 104) = 3.84, p<.05', 'f(1, 104) = 5.83, p<.05', 'f(1, 104)=5.94, p<.05', 'f(1, 104)=428.8, p<.0001', 'f(1, 104) = 6.92, p<.01'];['3', '1', '1', '1', '1'];['104', '104', '104', '104', '104'];['3.84', '5.83', '5.94', '428.8', '6.92'];['.05', '.05', '.05', '.0001', '.01'];[];[];[];[];[' p =.354', ' p < .05'];['.354', '.05'];[];[];[];[];['study 2', 'study 1'];[];JCP;11;3;JCP1103\23049332.pdf.txt
['f(4, 198)= 39.36, p<.001', 'f(1, 99)=43.71, p<.001', 'f(1, 99) = 33.29,p<.001', 'f(1, 99)=43.71,p<.001', 'f(1, 99) = 35.11,p< .001', 'f(1, 99) = 5.65,p<.05', 'f(2, 81) = 31.81, p<.001', 'f(4, 162)= 10.52, p<.001', 'f(1, 80) = 6.53, p<.05', 'f(1, 80)=24.46, p<.001', 'f(1, 80) = 8.01, p<.01', 'f(1, 34)=39.56, p<.001', 'f(4, 162)=4.89, p<.05', 'f(1, 82)= 10.59, p<.001', 'f(1, 80) = 3.36, p=.059', 'f(1, 81) = 29.72, p<.001'];['4', '1', '1', '1', '1', '1', '2', '4', '1', '1', '1', '1', '4', '1', '1', '1'];['198', '99', '99', '99', '99', '99', '81', '162', '80', '80', '80', '34', '162', '82', '80', '81'];['39.36', '43.71', '33.29', '43.71', '35.11', '5.65', '31.81', '10.52', '6.53', '24.46', '8.01', '39.56', '4.89', '10.59', '3.36', '29.72'];['.001', '.001', '.001', '.001', '.001', '.05', '.001', '.001', '.05', '.001', '.01', '.001', '.05', '.001', '.059', '.001'];[];[];[];[];[' p =.362', ' p = .252'];['.362', '.252'];['d2 ='];[];[];[];['study 1', 'study 2', 'study 2', 'study 1', 'study 2', 'study 2', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2'];[];JCP;11;3;JCP1103\23049333.pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCP;11;3;JCP1103\23049334.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.978', ' p =.978', ' p =.978'];['.978', '.978', '.978'];[];[];[];['field experiment'];[];[];JCP;11;3;JCP1103\23049335.pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCP;11;4;JCP1104\23049306.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.373'];['.373'];[];[];[];[];[];[];JCP;11;4;JCP1104\23049307.pdf.txt
['f(1, 54)=4.27, p<.05', 'f(1, 119) = 7.65, p<.05', 'f(1, 96)=7.51, p <.01', 'f(1, 81) = 2.86, p<.10', 'f(1, 58)= 15.58,p<.01', 'f(1, 96)=4.27, p<.05', 'f(1, 81)=7.74, p<.01', 'f(1, 58)=3.76,p <.05'];['1', '1', '1', '1', '1', '1', '1', '1'];['54', '119', '96', '81', '58', '96', '81', '58'];['4.27', '7.65', '7.51', '2.86', '15.58', '4.27', '7.74', '3.76'];['.05', '.05', '.01', '.10', '.01', '.05', '.01', '.05'];[];[];[];[];[' p =.376', ' p <.01', ' p < .05', ' p < .01', '(p =.209'];['.376', '.01', '.05', '.01', '.209'];['d='];[];[];['field experiment', 'field experiment'];['study 1', 'study 2', 'study 1', 'study 2', 'study 2', 'study 2', 'study 1', 'study 2', 'study 1', 'study 1', 'study 2', 'study 1', 'study 3', 'study 4', 'study 3', 'study 4', 'study 4', 'study 3', 'study 4', 'study 3', 'study 4', 'study 3', 'study 4', 'study 1', 'study 2', 'study 2', 'study 3', 'study 4', 'study 2', 'study 4', 'study 4', 'study 3'];[];JCP;11;4;JCP1104\23049308.pdf.txt
[];[];[];[];[];['t(120) =1.13, p = .26', 't(78)=1.87, p = .07'];['120', '78'];['1.13', '1.87'];['.26', '.07'];[' p =.384', ' p = .65', ' p = .07', ' p = .26', ' p = .07'];['.384', '.65', '.07', '.26', '.07'];['d='];[];[];[];['study 1', 'study 1', 'study 1', 'study 3', 'study 2', 'study 2', 'study 2', 'study 1', 'study 1', 'study 2', 'study 3', 'study 2', 'study 3', 'study 1', 'study 2', 'study 2', 'study 1', 'study 3', 'study 1', 'study 1', 'study 3'];[];JCP;11;4;JCP1104\23049309.pdf.txt
['f(1, 110)= 19.2, p<.001'];['1'];['110'];['19.2'];['.001'];['t(50)=2.14, p< .05', 't(50)< 1, ns.', 't(87)=2.32, p<.05', 't(46)=3.10, p< .01', 't(48) <1, n.s', 't(48) = 2.52, p<.05', 't(129)=4.11,p<.001', 't(42) = 2.06, p<.05', 't(41) = 2.27, p<.05', 't(90)=4.13, p<.001', 't(28) = 2.68, p<.05', 't(50)=2.76,p<.01'];['50', '50', '87', '46', '48', '48', '129', '42', '41', '90', '28', '50'];['2.14', '1', '2.32', '3.10', '1', '2.52', '4.11', '2.06', '2.27', '4.13', '2.68', '2.76'];['.05', 'ns', '.05', '.01', 'ns', '.05', '.001', '.05', '.05', '.001', '.05', '.01'];[' p =.393', ' p < .05', ' p <.05', ' p <.001', '(p =.619'];['.393', '.05', '.05', '.001', '.619'];['d='];[];[];[];['study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 1', 'study 1', 'study 2', 'study 2', 'study 2', 'study 2', 'study 1', 'study 1', 'study 1', 'study 2', 'study 1', 'study 2', 'study 1', 'study 2', 'study 2', 'study 3', 'study 1', 'study 2', 'study 3', 'study 3', 'study 1', 'study 3', 'study 3', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 4', 'study 4', 'study 1', 'study 1', 'study 4', 'study 4', 'study 4', 'study 1', 'study 1', 'study 4', 'study 4', 'study 4', 'study 1', 'study 1', 'study 4', 'study 1', 'study 4', 'study 1', 'study 2', 'study 3'];[];JCP;11;4;JCP1104\23049310.pdf.txt
['f(2, 380) = 16.37, p< .001'];['2'];['380'];['16.37'];['.001'];['t(116) = 3.23, p=.002', 't(213) = 6.0, p<.001', 't(213) = 3.62, p<.001'];['116', '213', '213'];['3.23', '6.0', '3.62'];['.002', '.001', '.001'];[' p =.405', ' p 5.16', ' p < .001', ' p < .001', '(p =.226', '(p =.1'];['.405', '.16', '.001', '.001', '.226', '.1'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd=', 'd=', 'd='];[];[];[];['study 1', 'study 1', 'study 2', 'study 1', 'study 3', 'study 2', 'study 3', 'study 3', 'study 2', 'study 3', 'study 2', 'study 1', 'study 1', 'study 3', 'study 2', 'study 3', 'study 4', 'study 1', 'study 4', 'study 5', 'study 4', 'study 5', 'study 4', 'study 5', 'study 3', 'study 2'];[];JCP;11;4;JCP1104\23049311.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.414', '(p =.126', '(p =.175', '(p =.1', '(p =.490', '(p =.599', '(p =.115', '(p =.65', '(p =.261'];['.414', '.126', '.175', '.1', '.490', '.599', '.115', '.65', '.261'];['d='];[];[];['field experiment'];[];[];JCP;11;4;JCP1104\23049312.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.424', '(p =.135', '(p =.9', '(p =.13', '(p =.89', '(p =.297', '(p =.331', '(p =.1', '(p =.1', '(p =.167', '(p =.133', '(p =.201', '(p =.133', '(p =.1', '(p =.527', '(p =.433', '(p =.385', '(p =.1', '(p =.31', '(p =.17', '(p =.131', '(p =.533', '(p =.1', '(p =.249', '(p =.289'];['.424', '.135', '.9', '.13', '.89', '.297', '.331', '.1', '.1', '.167', '.133', '.201', '.133', '.1', '.527', '.433', '.385', '.1', '.31', '.17', '.131', '.533', '.1', '.249', '.289'];[];[];[];[];[];[];JCP;11;4;JCP1104\23049313.pdf.txt
['f(1, 65) = 5.36,p=.02', 'f(1, 65)=45.99,p<.001', 'f(1, 65) = 8.09, p=.006', 'f(1, 69) = 5.52, p=.02', 'f(1, 69)=8.34, p=.005', 'f(1, 69)=0, p=.98', 'f(1, 56)=4.26,p = .04', 'f(1, 56)=3.51, p=.07', 'f(1, 56)=.34,p=.56', 'f(1, 122)= 7.52,p=.007', 'f(1, 122)=7.9, p=.006', 'f(1, 57)= 13.92, p< .001', 'f(1,122)= 13.32, p=.003', 'f(1,115) = 7.88, p=.006', 'f(1, 59)= 1.92,p=.17', 'f(1, 125)= 16.94,p<.001', 'f(1, 125)=6.15, p=.01', 'f(1, 125)=3.64, p=.06', 'f(1, 124)=3.0,p = .09'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['65', '65', '65', '69', '69', '69', '56', '56', '56', '122', '122', '57', '122', '115', '59', '125', '125', '125', '124'];['5.36', '45.99', '8.09', '5.52', '8.34', '0', '4.26', '3.51', '.34', '7.52', '7.9', '13.92', '13.32', '7.88', '1.92', '16.94', '6.15', '3.64', '3.0'];['.02', '.001', '.006', '.02', '.005', '.98', '.04', '.07', '.56', '.007', '.006', '.001', '.003', '.006', '.17', '.001', '.01', '.06', '.09'];['t(62)=3.19, p=.001', 't(60) = .95, p=.17', 't(57) = 2.04,p = .02', 't(61)=1.39,p=.08', 't(58)=.83, p=.20', 't(58)=3.24,p<.001', 't(57)=.54, p = .30'];['62', '60', '57', '61', '58', '58', '57'];['3.19', '.95', '2.04', '1.39', '.83', '3.24', '.54'];['.001', '.17', '.02', '.08', '.20', '.001', '.30'];[' p =.439', ' p = .006', ' p = .04', ' p = .006', ' p = .003', ' p = .02', ' p = .02', ' p = .03', ' p = .001', ' p = .13', ' p < .001', ' p = .30', ' p = .34', ' p = .012', ' p = .006', ' p = .03', ' p = .03', ' p = .09', ' p = .001', '(p =.444'];['.439', '.006', '.04', '.006', '.003', '.02', '.02', '.03', '.001', '.13', '.001', '.30', '.34', '.012', '.006', '.03', '.03', '.09', '.001', '.444'];['g =', 'g=', 'g=', 'g=', 'g='];[];[];[];['study 1', 'study 1', 'study 2', 'study 2', 'study 3', 'study 4', 'study 4', 'study 6', 'study 5', 'study 5', 'study 6', 'study 7', 'study 7', 'study 2', 'study 2', 'study 8', 'study 9', 'study 1', 'study 8', 'study 1', 'study 1', 'study 8', 'study 1', 'study 8', 'study 1', 'study 2', 'study 3', 'study 4', 'study 5', 'study 6', 'study 7', 'study 8', 'study 9', 'study 4', 'study 5', 'study 3', 'study 4', 'study 4', 'study 6', 'study 9'];['experiment 3', 'experiment 2'];JCP;11;4;JCP1104\23049314.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.453', '(p =.1177', '(p =.1', '(p =.3', '(p =.399'];['.453', '.1177', '.1', '.3', '.399'];[];[];[];[];[];[];JCP;11;4;JCP1104\23049315.pdf.txt
